Year,psa_rate_per_100k_pop,lga_rate_per_100_pop,incidents_recorded,LGA,division_code,division_desc,subdivision_code,subdivision_desc,subgroup_code,subgroup_desc,police_region
2025,17.196863839,29.32796137,13,Bass Coast,B,Property and deception offences,B10,Arson,B19,Other fire related offences,2 Eastern
2025,337.323098387,575.279242259,255,Bass Coast,B,Property and deception offences,B20,Property damage,B21,Criminal damage,2 Eastern
2025,33.070891999,56.399925712,25,Bass Coast,B,Property and deception offences,B20,Property damage,B22,Graffiti,2 Eastern
2025,5.29134272,9.023988114,4,Bass Coast,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,2 Eastern
2025,54.236262878,92.495878167,41,Bass Coast,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,2 Eastern
2025,160.063117274,272.975640444,121,Bass Coast,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,2 Eastern
2025,95.244168956,162.43178605,72,Bass Coast,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,2 Eastern
2025,202.393859032,345.167545355,153,Bass Coast,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,2 Eastern
2025,25.133877919,42.863943541,19,Bass Coast,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,2 Eastern
2025,267.212807349,455.71139975,202,Bass Coast,B,Property and deception offences,B40,Theft,B49,Other theft,2 Eastern
2025,34.393727679,83.149765648,26,South Gippsland,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,2 Eastern
2025,5.29134272,12.792271638,4,South Gippsland,B,Property and deception offences,B10,Arson,B19,Other fire related offences,2 Eastern
2025,209.008037432,505.294729706,158,South Gippsland,B,Property and deception offences,B20,Property damage,B21,Criminal damage,2 Eastern
2025,11.90552112,28.782611186,9,South Gippsland,B,Property and deception offences,B20,Property damage,B22,Graffiti,2 Eastern
2025,5.29134272,12.792271638,4,South Gippsland,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,2 Eastern
2025,19.842535199,47.971018643,15,South Gippsland,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,2 Eastern
2025,119.055211195,287.826111858,90,South Gippsland,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,2 Eastern
2025,2.64567136,6.396135819,2,South Gippsland,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,2 Eastern
2025,95.244168956,230.260889486,72,South Gippsland,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,2 Eastern
2025,149.480431834,361.381673777,113,South Gippsland,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,2 Eastern
2025,2.64567136,6.396135819,2,South Gippsland,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,2 Eastern
2025,182.551323833,441.333371515,138,South Gippsland,B,Property and deception offences,B40,Theft,B49,Other theft,2 Eastern
2025,57.044421398,57.044421398,36,Baw Baw,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,2 Eastern
2025,15.845672611,15.845672611,10,Baw Baw,B,Property and deception offences,B10,Arson,B19,Other fire related offences,2 Eastern
2025,579.951617546,579.951617546,366,Baw Baw,B,Property and deception offences,B20,Property damage,B21,Criminal damage,2 Eastern
2025,17.430239872,17.430239872,11,Baw Baw,B,Property and deception offences,B20,Property damage,B22,Graffiti,2 Eastern
2025,9.507403566,9.507403566,6,Baw Baw,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,2 Eastern
2025,71.305526747,71.305526747,45,Baw Baw,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,2 Eastern
2025,171.133264194,171.133264194,108,Baw Baw,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,2 Eastern
2025,3.169134522,3.169134522,2,Baw Baw,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,2 Eastern
2025,209.162878459,209.162878459,132,Baw Baw,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,2 Eastern
2025,692.455893081,692.455893081,437,Baw Baw,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,2 Eastern
2025,25.353076177,25.353076177,16,Baw Baw,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,2 Eastern
2025,432.586862268,432.586862268,273,Baw Baw,B,Property and deception offences,B40,Theft,B49,Other theft,2 Eastern
2025,24.151878254,67.848730644,10,Benalla,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,2 Eastern
2025,12.075939127,33.924365322,5,Benalla,B,Property and deception offences,B10,Arson,B19,Other fire related offences,2 Eastern
2025,297.06810252,834.539386926,123,Benalla,B,Property and deception offences,B20,Property damage,B21,Criminal damage,2 Eastern
2025,12.075939127,33.924365322,5,Benalla,B,Property and deception offences,B20,Property damage,B22,Graffiti,2 Eastern
2025,2.415187825,6.784873064,1,Benalla,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,2 Eastern
2025,16.906314778,47.494111451,7,Benalla,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,2 Eastern
2025,77.286010412,217.115938062,32,Benalla,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,2 Eastern
2025,55.549319983,156.052080482,23,Benalla,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,2 Eastern
2025,96.607513015,271.394922578,40,Benalla,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,2 Eastern
2025,62.794883459,176.406699675,26,Benalla,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,2 Eastern
2025,205.290965156,576.714210477,85,Benalla,B,Property and deception offences,B40,Theft,B49,Other theft,2 Eastern
2025,4.830375651,18.230690902,2,Mansfield,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,2 Eastern
2025,9.660751301,36.461381804,4,Mansfield,B,Property and deception offences,B10,Arson,B19,Other fire related offences,2 Eastern
2025,72.455634761,273.46036353,30,Mansfield,B,Property and deception offences,B20,Property damage,B21,Criminal damage,2 Eastern
2025,2.415187825,9.115345451,1,Mansfield,B,Property and deception offences,B20,Property damage,B22,Graffiti,2 Eastern
2025,4.830375651,18.230690902,2,Mansfield,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,2 Eastern
2025,7.245563476,27.346036353,3,Mansfield,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,2 Eastern
2025,19.321502603,72.922763608,8,Mansfield,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,2 Eastern
2025,16.906314778,63.807418157,7,Mansfield,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,2 Eastern
2025,43.473380857,164.076218118,18,Mansfield,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,2 Eastern
2025,4.830375651,18.230690902,2,Mansfield,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,2 Eastern
2025,99.02270084,373.72916349,41,Mansfield,B,Property and deception offences,B40,Theft,B49,Other theft,2 Eastern
2025,9.660751301,25.485065616,4,Murrindindi,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,2 Eastern
2025,9.660751301,25.485065616,4,Murrindindi,B,Property and deception offences,B10,Arson,B19,Other fire related offences,2 Eastern
2025,152.156832998,401.389783455,63,Murrindindi,B,Property and deception offences,B20,Property damage,B21,Criminal damage,2 Eastern
2025,19.321502603,50.970131232,8,Murrindindi,B,Property and deception offences,B20,Property damage,B22,Graffiti,2 Eastern
2025,4.830375651,12.742532808,2,Murrindindi,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,2 Eastern
2025,4.830375651,12.742532808,2,Murrindindi,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,2 Eastern
2025,74.870822586,197.509258525,31,Murrindindi,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,2 Eastern
2025,2.415187825,6.371266404,1,Murrindindi,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,2 Eastern
2025,38.643005206,101.940262465,16,Murrindindi,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,2 Eastern
2025,106.268264316,280.335721778,44,Murrindindi,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,2 Eastern
2025,7.245563476,19.113799212,3,Murrindindi,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,2 Eastern
